Abacavir (Ziagen®)
Acetaminophen (Tylenol®)
Adalimumab (Humira®)
Alfentanil (Alfenta®)
Allopurinol (Zyloprim®)
Alprazolam (Xanax®)
Amantadine (Gocovri®)
Amikacin
Amiodarone (Cordarone®)
Amitriptyline (Elavil®)
Amlodipine (Norvasc®)
Amphetamine (Adderall®)
Aripiprazole (Abilify®)
Asparaginase (Elspar®)
Aspirin (Ecotrin®)
Atazanavir (Reyataz®)
Atenolol (Tenormin®)
Atomoxetine (Strattera®)
Atorvastatin (Lipitor®)
Azathioprine (Imuran®)
Azithromycin (Zithromax®)
Benazepril (Lotensin®)
Boceprevir (Victrelis®)
Brivaracetam (Briviact®)
Budesonide (Uceris®)
Bumetanide (Bumex®)
Buprenorphine (Subutex®)
Bupropion (Wellbutrin®)
Buspirone (Buspar®)
Busulfan (Busulfex®)
Cabazitaxel (Jevtana®)
Caffeine (Vivarin®)
Candesartan (Atacand®)
Cannabinoids
Capecitabine (Xeloda®)
Captopril (Capoten®)
Carbamazepine (Tegretol®)
Carboplatin (Paraplatin®)
Carisoprodol (Soma®)
Carvedilol (Coreg®)
Celecoxib (Celebrex®)
Cevimeline (Evoxac®)
Chloroquine (Aralen®)
Chlorothiazide (Diuril®)
Chlorpromazine (Thorazine®)
Chlorpropamide (Diabinese®)
Cilostazol (Pletal®)
Cisplatin (Platinol®)
Citalopram (Celexa®)
Clobazam (Onfi®)
Clomipramine (Anafranil®)
Clonidine (Catapres®)
Clopidogrel (Plavix®)
Clozapine (Clozaril®)
Cocaine
Codeine (Codeine®)
Cyclobenzaprine (Flexeril®)
Cyclophosphamide (Endoxan®)
Cyclosporine (Gengraf®)
Cyclosporine (Neoral®)
Cytarabine (Alexan®)
Dabrafenib (Tafinlar®)
Dapsone
Dapsone (Aczone®)
Darifenacin (Enablex®)
Daunorubicin (Cerubidine®)
Deferasirox (Exjade®)
Desipramine (Norpramin®)
Dexamethasone (Maxidex®)
Dexlansoprazole (Dexilant®)
